ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,bodily_injuries,property_damage,injury_claim,property_claim,vehicle_claim,total_claim_amount,policy_annual_premium,policy_deductable,umbrella_limit,authorities_contacted,witnesses,police_report_available,policy_number,auto_make,auto_model,auto_year
1,11/5/2015,11/5/2015,11/5/2016,4/15/1956,3/20/1976,0,4,1,2,1,0,,0,222.52,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,1,YES,6510,13020,52080,71610,1406.91,1000,0,Police,2,YES,521585,Saab,92x,2004
1,11/5/2015,11/5/2016,11/5/2017,4/15/1956,3/20/1976,0,4,1,2,1,0,,0,213.78,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,0,?,780,780,3510,5070,1197.22,2000,5000000,Police,0,?,342868,Mercedes,E400,2007
1,11/5/2015,11/5/2017,11/5/2018,4/15/1956,3/20/1976,0,4,2,2,1,0,,0,214.84,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,2,NO,7700,3850,23100,34650,1413.14,2000,5000000,Police,3,NO,687698,Dodge,RAM,2007
1,11/5/2015,11/5/2018,11/5/2019,4/15/1956,3/20/1976,0,4,2,2,1,0,,0,216.99,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,1,?,6340,6340,50720,63400,1415.74,2000,6000000,Police,2,NO,227811,Chevrolet,Tahoe,2014
2,9/26/2017,9/26/2017,9/26/2018,4/15/1956,3/20/1976,0,4,2,2,1,0,,1,213.7,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,0,NO,1300,650,4550,6500,1583.91,1000,6000000,None,1,NO,367455,Accura,RSX,2009
2,9/26/2017,9/26/2018,9/26/2019,4/15/1956,3/20/1976,0,4,2,2,1,0,,1,215.83,0,0,0,0,1,0,0,2004,80,599,7068,0,P,,190,0,NO,6410,6410,51280,64100,1351.1,1000,0,Fire,2,NO,104594,Saab,95,2003
3,11/29/2013,11/29/2015,11/29/2016,3/18/1975,7/10/1995,0,15,1,2,1,0,,0,380.2,0,0,0,0,3,0,0,2013,85,1229,16030,5,P,3.999,1105,0,?,21450,7150,50050,78650,1333.35,1000,0,Police,0,?,413978,Nissan,Pathfinder,2012
3,11/29/2013,11/29/2016,11/29/2017,3/18/1975,7/10/1995,0,15,1,2,1,0,,0,393.5,0,0,0,0,3,0,0,2013,85,1229,16030,5,P,3.999,1105,2,?,9380,9380,32830,51590,1137.03,1000,0,Police,2,YES,429027,Audi,A5,2015
3,11/29/2013,11/29/2017,11/29/2018,3/18/1975,7/10/1995,0,15,1,2,1,0,,0,393.5,0,0,0,0,3,0,0,2013,85,1229,16030,5,P,3.999,1105,1,NO,2770,2770,22160,27700,1442.99,500,0,Police,1,YES,485665,Toyota,Camry,2012
3,11/29/2013,11/29/2018,11/29/2019,3/18/1975,7/10/1995,0,15,1,2,1,0,,0,395.47,0,0,0,0,3,0,0,2013,85,1229,16030,5,P,3.999,1105,2,NO,4700,4700,32900,42300,1315.68,500,0,Other,1,?,636550,Saab,92x,1996
4,10/21/2016,10/21/2016,10/21/2017,7/10/1973,7/5/1993,0,3,1,2,1,0,,0,117.01,0,0,0,0,1,0,0,1986,6,74,1261.82,0,P,,87,2,YES,7910,15820,63280,87010,1253.12,500,4000000,Police,2,?,543610,Ford,F150,2002
4,10/21/2016,10/21/2017,10/21/2018,7/10/1973,7/5/1993,0,3,2,2,1,0,,0,117.59,0,0,0,0,1,0,0,1986,6,74,1261.82,0,P,,87,1,YES,17680,17680,79560,114920,1137.16,2000,0,Fire,2,YES,214618,Audi,A3,2006
4,10/21/2016,10/21/2018,10/21/2019,7/10/1973,7/5/1993,0,3,2,2,1,0,,0,118.77,0,0,0,0,1,0,0,1986,6,74,1261.82,0,P,,87,1,YES,4710,9420,42390,56520,1215.36,500,3000000,Ambulance,0,NO,842643,Saab,95,2000
5,5/12/2017,5/12/2017,5/12/2018,7/10/1973,7/5/1993,0,3,2,2,1,0,,0,80.25,0,0,0,0,1,0,0,1986,6,244,3000,0,P,,92,1,NO,1120,1120,5040,7280,936.61,1000,0,None,1,NO,626808,Toyota,Highlander,2010
5,5/12/2017,5/12/2018,5/12/2019,7/10/1973,7/5/1993,0,3,2,2,1,0,,0,81.05,0,0,0,0,1,0,0,1986,6,244,3000,0,P,,92,0,NO,4200,8400,33600,46200,1301.13,2000,0,Police,2,YES,644081,Dodge,Neon,2003
6,5/29/2006,5/29/2016,5/29/2017,10/21/1966,9/10/1990,0,13,1,2,2,0,,0,250.52,0,0,2,0.16,3,0,0,2006,87,1598,9927,4,P,4.25,1055,0,YES,10520,10520,42080,63120,1131.4,2000,0,Other,0,NO,892874,Accura,MDX,1999
6,5/29/2006,5/29/2017,5/29/2018,10/21/1966,9/10/1990,0,13,1,2,2,0,,0,258.04,0,0,2,0.16,3,0,0,2006,87,1598,9927,4,P,4.25,1055,1,?,5790,5790,40530,52110,1199.44,1000,5000000,Other,2,YES,558938,Nissan,Maxima,2012
